gene	Adult_Hind_Gut	Adult_Mid_Gut	Adult_Accessory_gland	Adult_Brain	Adult_Crop	Larval_Wandering_fat_body	Adult_Head	Larvae_Wandering_Tubules	Adult_Ovary	Adult_Testes	Adult_Salivary_Gland	Adult_Carcass	Adult_Thoracoabdominal_ganglion	Larval_Feeding_Hind_Gut	Larval_Feeding_Mid_Gut	Larval_Feeding_Salivary_Gland	Adult_Female_Spermatheca_Mated	Adult_Female_Spermatheca_Virgin	Larval_Feeding_Malpighian_Tubule	Larval_Feeding_Fatbody	Larval_Feeding_Carcass	Larval_Feeding_Central_Nevous_System	Larval_Feeding_Trachea	Adult_Fatbody	Adult_Eye	Adult_Heart	Adult_Male_Ejaculatory_Duct	Adult_Trachea	Adult_Thoracic_Muscle	Adult_Wings
FBgn0000008	3.561242476	0.0001	6.897747715	6.3830621	4.0261651	6.65595853	5.320881501	6.621347762	7.382808635	0.0001	0.0001	4.659372247	4.043429356	0.0001	0.0001	0.0001	7.543431082	7.714966944	0.0001	0.0001	5.167552596	4.472633652	4.98757666	5.970172454	5.774283963	4.80572883	0.0001	5.174299549	0.0001	5.106174382
FBgn0000014	0.0001	0.0001	4.223027518	0.0001	0.0001	7.393108139	0.0001	0.0001	0.0001	4.001175637	0.0001	0.0001	4.090382261	0.0001	0.0001	0.0001	6.117015859	6.007445306	0.0001	7.510112729	7.161635545	4.335396875	8.347215185	0.0001	0.0001	3.803128728	0.0001	0.0001	0.0001	0.0001
FBgn0000015	7.420570112	2.908148823	5.475923516	0.0001	0.0001	4.258493567	0.0001	2.921475824	0.0001	3.876989767	0.0001	0.0001	3.781407356	5.071025743	3.056074604	0.0001	7.151817815	7.068009348	3.24911161	5.7538137	6.25242923	4.206932472	8.680972821	3.415073477	0.0001	0.0001	10.41105105	0.0001	0.0001	0.0001
FBgn0000017	4.035198978	0.0001	0.0001	4.386514951	0.0001	0.0001	0.0001	0.0001	5.246904737	5.293404794	0.0001	0.0001	3.528333505	0.0001	0.0001	4.314008994	0.0001	0.0001	0.0001	0.0001	0.0001	3.577788886	3.626085851	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	3.596478818
FBgn0000018	5.164070846	6.097336116	6.610935061	3.749819846	5.67545268	5.552720916	4.561928544	6.069086147	7.021254794	6.461996445	5.759852438	4.613682641	4.448604965	5.350801157	5.767779306	6.043706973	6.000113808	5.976833416	6.683561987	5.882768884	5.635182475	5.437342664	6.275826016	5.823349568	4.790314033	5.938986263	5.884192705	5.084949	0.0001	4.748825719
FBgn0000022	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	2.800132083	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
FBgn0000024	3.956565653	8.857317502	5.329000329	10.29902109	8.117558716	7.887720495	9.585739398	7.65231981	0.0001	3.468067083	0.0001	5.989921933	11.15352262	4.751358775	7.965877911	6.105758175	4.628698034	0.0001	7.814647666	6.743853114	5.501975167	9.942814109	3.853148524	4.337156755	10.06856869	4.589814871	3.763399832	7.661012647	0.0001	9.167205259
FBgn0000028	0.0001	0.0001	0.0001	5.73436402	0.0001	0.0001	0.0001	0.0001	0.0001	5.922159883	0.0001	0.0001	3.13376258	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	3.424490876	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
FBgn0000032	7.857465905	8.721560799	10.67063739	7.329612351	8.154261396	9.97082072	6.828948622	9.628626821	10.34055195	9.274977067	10.1082123	7.791507895	7.649555968	9.236163557	9.958310121	11.50030506	9.009609287	9.322548253	8.88304705	9.441166273	9.395375995	7.44061946	9.423848546	8.429133761	6.96585822	8.963276304	9.422509424	8.474480604	6.188641409	7.268942439
FBgn0000036	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
FBgn0000037	0.0001	0.0001	0.0001	11.55462036	0.0001	0.0001	7.88784524	0.0001	0.0001	0.0001	0.0001	0.0001	10.35067715	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	9.392399754	0.0001	0.0001	5.638467826	0.0001	0.0001	0.0001	0.0001	4.527660012
FBgn0000038	0.0001	0.0001	0.0001	11.1651854	2.817628644	0.0001	4.685779343	0.0001	0.0001	0.0001	0.0001	0.0001	11.16648729	0.0001	0.0001	0.0001	0.0001	3.338038698	0.0001	0.0001	0.0001	6.784502955	0.0001	0.0001	6.070499973	0.0001	0.0001	8.919689517	0.0001	0.0001
FBgn0000039	0.0001	2.567385157	3.964979355	10.2077063	2.464563419	0.0001	6.01664263	0.0001	0.0001	0.0001	0.0001	2.7319384	9.905271964	0.0001	2.669601254	0.0001	0.0001	2.536772483	0.0001	0.0001	0.0001	8.531291925	0.0001	2.566838041	2.779761305	0.0001	0.0001	0.0001	0.0001	0.0001
FBgn0000042	12.26682482	12.81420823	10.59188199	11.74297709	10.76565075	12.12017389	10.9598917	11.9333369	11.65700993	10.80956386	11.63909427	10.3350923	10.79642629	12.47062265	12.46927463	12.09729125	8.451873594	7.826457637	12.76538252	11.58410261	11.43403646	12.42377669	12.68498667	9.745036733	10.70348875	10.52290003	9.864967608	10.01088187	8.178908974	10.3925429
FBgn0000043	8.074548045	10.91215727	8.454205121	7.040777349	5.373464064	9.919718741	6.38317104	9.584405066	9.859005153	11.05834404	5.19541547	6.673565302	7.120991237	10.91373197	11.39179088	10.6961929	6.089681053	5.773953441	8.424126729	8.246807044	10.12151566	11.71129615	11.01951638	4.944603405	4.539714766	9.039271993	5.309226733	8.514012292	5.442384648	6.323546596
FBgn0000044	14.16300159	12.96469518	13.49985701	8.128840463	14.48341425	5.959781268	13.3965607	10.61089073	9.945148886	11.72165735	8.316714362	13.67746899	8.057730469	14.49623316	13.51869343	9.580020937	11.95248328	10.24611588	11.16897627	9.090302782	14.40390441	8.632080575	13.27684389	11.70485842	11.05255745	13.7740065	13.74644417	11.01408198	12.85792563	11.8247041
FBgn0000045	2.97015401	0.0001	0.0001	8.883576422	0.0001	0.0001	8.918675726	0.0001	0.0001	2.481227704	0.0001	13.36923122	7.416387361	0.0001	0.0001	0.0001	2.624127458	3.08662626	0.0001	0.0001	0.0001	0.0001	0.0001	6.176649596	0.0001	3.136226012	3.14654154	10.21881745	0.0001	12.71698267
FBgn0000046	12.87334234	11.45644201	11.83151547	4.247106939	14.05465997	7.265692368	11.22846856	7.26586038	5.547908755	12.99622934	0.0001	12.91763128	7.053691494	14.47899658	12.43435315	6.34644114	6.886642942	6.46627489	7.581631045	7.247775243	14.425654	5.532317028	11.33036054	9.438371482	8.38476009	11.48690207	13.2865225	8.244295446	0.0001	11.03842242
FBgn0000047	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	6.857363613	0.0001	0.0001	0.0001	0.0001	11.51579833	4.931848817	0.0001	3.47811538	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	3.555959311	4.246665264	0.0001	0.0001	11.54621086	0.0001	9.174121634
FBgn0000052	5.223814837	5.617522296	7.59571818	4.564279636	5.347559055	11.72047871	9.07909603	6.777907094	8.337488275	5.395784077	7.013705868	9.337914002	5.223644404	5.654315767	6.821190454	7.590425678	9.468741914	10.42004209	6.759283799	10.33070769	6.033956217	6.837749048	7.53014027	9.977971064	8.880111853	8.894064618	6.58509546	8.321367834	8.129074392	6.658855002
FBgn0000053	5.652121265	0.0001	0.0001	2.900399567	5.957050326	12.60517439	8.470138356	6.577540724	6.152145888	0.0001	0.0001	8.506425435	0.0001	3.904570749	4.950917831	6.391309605	9.246504185	10.85156901	5.61985122	9.745322257	4.734735251	6.100448204	5.497224716	9.134929711	6.546302452	7.768678175	7.83712535	7.698313551	0.0001	5.646248185
FBgn0000054	9.306624499	9.081442012	9.905104026	11.08499866	9.875205949	8.854087585	9.938852063	9.430184513	10.68164036	8.278860129	10.43412473	8.820975783	10.05580694	9.045161088	8.572314971	10.15833459	9.754368284	9.66001144	9.056285562	8.757712433	9.078908901	11.00606641	10.06460181	8.834212438	10.18668263	8.770834171	9.411627613	9.545477801	10.04572488	9.376699083
FBgn0000057	5.937074909	5.961909846	7.552180928	6.52362097	6.274427449	9.63800045	6.318774116	7.996447966	6.789903785	8.505837911	7.861668228	7.398256328	6.23435032	5.43018523	4.931951103	6.830275408	7.210660803	7.62304429	6.836830681	8.327603824	5.497045618	5.009493739	6.059711442	7.710243401	6.849902529	7.296469584	7.022492629	5.480005476	7.270767615	5.393728219
FBgn0000061	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
FBgn0000063	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	6.765669193	5.577552726	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	4.81009275	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
FBgn0000064	12.16598932	11.6094344	11.59791644	12.01714614	12.17779457	12.03440322	12.42352113	10.91365076	11.15160958	10.44250971	12.41435148	12.85713608	11.45799244	12.17082021	11.70392773	10.96660573	12.51915036	12.71940928	11.83546774	12.47055923	12.85987003	12.63407486	11.69710045	13.48823636	11.12876216	12.40111578	12.16904247	12.58280408	13.10107406	11.84616371
FBgn0000071	0.0001	0.0001	0.0001	0.0001	0.0001	13.10329817	0.0001	4.515959026	0.0001	0.0001	0.0001	0.0001	4.839270986	4.983430315	7.739124319	0.0001	0.0001	0.0001	0.0001	9.13368887	8.731540999	12.17908764	6.741333951	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
FBgn0000075	0.0001	0.0001	0.0001	0.0001	4.50734854	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	5.481944009	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
FBgn0000077	4.960673294	5.287249721	5.674366829	5.468078939	5.293617523	5.570552675	4.808479068	5.906177769	6.546854826	0.0001	5.597886873	4.528698485	5.043499666	5.186779422	5.415976732	5.376699661	6.434394445	6.059964577	5.646193767	5.228160423	4.412214528	4.490606031	4.608486937	5.47727471	4.726866436	5.816595353	5.834246787	4.993811871	4.826452728	5.407192253
FBgn0000083	12.66741997	10.24368295	10.47026084	10.56358536	12.95495709	10.9321445	11.33388796	12.51523424	8.990260458	9.102438009	11.21802383	11.01883685	11.37368905	13.12794858	10.55456092	12.09586403	11.57694493	11.16478055	12.69625623	10.96092251	12.12718266	11.40535292	12.73181044	10.2060534	10.804964	11.24070024	11.84010593	12.28705038	11.28153063	13.10074441
FBgn0000084	11.81296311	10.37803935	11.91148453	12.60745262	11.80555657	11.57665671	12.27175189	8.394750747	10.94216806	10.38341598	12.07020188	11.94908533	13.23081604	11.1587579	9.512144721	10.78447688	12.80275874	12.51077611	6.160348012	11.0319926	11.52332997	11.18632932	12.1774084	11.85394462	12.38820939	11.63587005	12.65071425	12.7433715	10.97069183	13.33518901
FBgn0000092	7.919386301	0.0001	0.0001	0.0001	0.0001	0.0001	5.179440652	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	5.575741883	0.0001	6.088124601	0.0001	0.0001	0.0001	0.0001	4.827722489
FBgn0000094	0.0001	0.0001	12.77675952	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	6.917958418	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	14.27839789	6.049844639	0.0001	0.0001
FBgn0000097	9.082808424	10.00924264	8.856169865	8.812615216	10.25784576	9.555197737	8.84906729	9.212165316	9.898849558	5.304229866	8.603322114	8.672430999	8.746733688	8.597942405	9.366034684	4.382396322	9.803400161	9.604719953	8.635347781	8.095546044	8.877155557	9.576562057	9.212689038	9.410385675	8.360935607	8.55335196	8.200985733	10.37208329	7.929658202	10.00053385
FBgn0000099	2.609995686	0.0001	0.0001	7.550399517	0.0001	8.371626158	7.464664223	0.0001	0.0001	4.635447458	0.0001	7.078610549	3.260938336	2.957731716	0.0001	0.0001	8.515528738	8.298659418	2.487001043	9.237802332	3.457259408	7.783903395	0.0001	9.544975386	4.180251976	6.362212825	2.697116835	5.49165313	0.0001	6.565622729
FBgn0000100	14.12061363	13.88251654	14.01576848	13.95233196	14.15991351	14.13807905	14.03907662	13.9455155	14.25624418	11.81586993	13.99861896	13.97420365	13.92169446	13.96694913	13.5106293	13.99989258	14.09785375	14.03024888	13.87583312	14.12665327	13.99798568	14.24226841	14.2664648	14.09669821	13.80228657	13.99872278	13.84488795	13.80354059	12.83849377	13.64844372
FBgn0000108	0.0001	0.0001	0.0001	12.68467149	0.0001	0.0001	10.85224673	0.0001	0.0001	0.0001	0.0001	4.901981681	12.10108439	2.819855795	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	3.240886887	12.28595654	3.07437532	3.290105253	10.94013678	3.3105584	0.0001	9.397677086	0.0001	9.83088325
FBgn0000109	8.971095994	9.09193942	8.693773668	5.606987833	8.118234738	9.852371392	8.07908807	9.511356128	8.121025395	0.0001	9.19270491	8.865207578	6.037890874	8.627328328	9.074963899	9.102410218	10.30173691	10.51388767	9.892278655	10.31727144	7.760824955	6.610183833	7.288339807	9.57896938	7.726379185	8.749477037	8.861843378	0.0001	0.0001	7.841760364
FBgn0000114	10.24735766	0.0001	0.0001	6.772624461	7.683346852	9.668093083	8.25357168	0.0001	13.01815551	12.27176497	0.0001	9.096149486	6.150776112	11.46983655	0.0001	0.0001	9.55266201	9.372497513	0.0001	8.631825262	5.131543889	6.201251181	0.0001	9.925493867	10.19415373	8.813545839	4.615365324	9.212673633	11.46847954	6.719075926
FBgn0000115	9.515555625	9.468174746	11.22965612	8.485880956	9.739595014	10.1168412	8.682976727	10.18166414	9.50146258	8.07048583	11.03990424	8.717918313	8.692211422	9.481358954	9.468526209	11.26222291	9.716192162	9.776279936	10.26982223	10.18793676	9.370297097	9.57889473	9.829626928	8.697645104	8.899497555	9.333238829	10.12520077	8.616343713	7.054448294	9.457839322
FBgn0000116	13.88409544	13.27311681	10.98422011	13.97398685	13.77394817	8.387722146	13.56762899	11.71025505	10.73144444	10.97391455	11.09541702	13.57503177	13.85257497	14.03889367	13.33224727	11.28779494	10.3730288	10.00358183	12.55995644	7.525810428	14.28512886	13.38052018	11.78097856	8.548918638	13.27941744	13.28928459	12.2356077	12.07949686	13.40975925	13.39032445
FBgn0000117	11.06097655	10.83091909	11.14742435	12.5900166	11.34896114	10.72325779	11.45637639	11.4602765	11.64634193	9.162623124	11.85660192	10.37848219	11.87307372	11.38608571	11.24566969	11.68687885	9.901404864	9.854329773	11.12810145	10.58891501	10.93900613	12.64693028	11.73894818	10.15941827	11.8189106	10.75728217	11.1440511	11.13618115	10.31459756	11.16480236
FBgn0000119	7.449026577	7.784648663	7.032060693	7.559003529	8.114695948	8.095818498	7.423236894	8.574711322	8.464182984	5.260770338	9.801636965	5.272120879	7.052990975	8.204800254	7.70723152	9.593830159	8.74843764	8.817454896	8.010411371	8.139184147	9.010993275	9.42015443	8.834300434	8.434961664	7.557261694	6.915585309	7.955185349	9.126671997	6.042762972	6.99662111
FBgn0000120	0.0001	0.0001	0.0001	10.71057288	0.0001	0.0001	13.87757934	0.0001	0.0001	7.908635024	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	14.31771972	0.0001	0.0001	4.018852222	0.0001	0.0001
FBgn0000121	0.0001	0.0001	0.0001	12.16323449	0.0001	0.0001	14.26514699	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	14.74543763	0.0001	0.0001	6.21560456	0.0001	0.0001
FBgn0000137	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	10.02212616	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
FBgn0000139	8.405715716	7.870498868	8.988392498	7.060233773	9.146727607	7.237534572	8.303571697	6.236143425	7.915584021	6.859029547	7.253362057	8.029985238	7.607334089	7.65058976	6.89495118	6.846259214	8.932950148	8.910934339	7.103791888	7.662949999	6.589349377	8.664711118	8.902320978	9.014958977	8.978805294	8.485374372	9.08600448	8.797114465	0.0001	8.526169848
FBgn0000140	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	9.698650987	8.196976535	0.0001	0.0001	0.0001	3.287157234	3.496766692	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	8.57533002	5.440772645	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
FBgn0000146	0.0001	0.0001	0.0001	0.0001	0.0001	3.352660121	0.0001	0.0001	9.114496488	6.991806658	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	2.929628167	0.0001	3.211977583	0.0001	0.0001	0.0001	6.862158974	0.0001	4.392308692	0.0001	0.0001
FBgn0000147	0.0001	0.0001	0.0001	2.963783295	0.0001	0.0001	0.0001	0.0001	8.89080528	9.116269206	0.0001	0.0001	3.151475594	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	5.736664229	3.574352397	0.0001	3.366000383	0.0001	0.0001	0.0001	0.0001	0.0001
FBgn0000150	13.12279654	13.02253848	13.51272821	12.54233885	12.46835156	12.41519265	13.36117506	12.39848139	13.64474379	11.45652825	13.18542117	13.51297256	12.55213086	12.96434926	12.47917156	13.84681552	11.65807573	11.91029946	12.99596675	13.23562433	13.17683599	13.43932793	13.71100033	13.68185674	13.54649889	13.55618294	13.50324009	13.10184148	13.0012152	13.10311487
FBgn0000152	5.49580382	3.319327214	6.865637941	3.698628705	5.533393436	4.723499089	3.53990546	6.957984483	5.129345613	0.0001	0.0001	3.963231334	4.624447554	6.92870831	3.144117967	7.691080814	0.0001	0.0001	6.340919345	5.377488793	7.719285108	4.061653464	7.000905886	0.0001	2.634368315	5.874521819	7.407399996	3.030833614	0.0001	5.51507621
FBgn0000153	3.382453692	0.0001	0.0001	5.523809953	5.535320411	0.0001	10.33719404	0.0001	0.0001	0.0001	0.0001	10.36818653	2.713653876	3.577045719	0.0001	0.0001	3.402531537	2.829580269	2.81278875	2.933034172	9.489944243	2.407716419	5.842955521	0.0001	11.61521301	0.0001	3.485506878	7.823617749	12.9248152	9.742864122
FBgn0000157	0.0001	0.0001	0.0001	3.961600836	0.0001	0.0001	4.108115512	0.0001	0.0001	0.0001	0.0001	3.813534418	3.659448174	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	3.407798396	3.953686059	0.0001	0.0001	3.671347018	0.0001	0.0001	0.0001	0.0001	9.073148498
FBgn0000158	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	8.082975713	3.826513965	0.0001	0.0001	0.0001	2.70603908	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	6.090753641	2.938611797	3.113746752	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
FBgn0000163	8.212469341	7.770713705	4.989251531	0.0001	8.425067625	0.0001	6.295403958	5.967560454	7.308742148	4.471612248	8.983359103	6.473296432	0.0001	8.241218199	7.953660298	8.393960259	6.6374657	6.01712831	8.970877328	0.0001	6.486220236	7.799576743	7.778394202	4.802705654	6.976167273	6.889483257	7.276908553	11.3603049	6.236018323	8.620938241
FBgn0000166	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	8.741695261	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
FBgn0000173	11.31446312	10.72772056	10.88666711	11.671514	11.62910935	11.6342679	11.49858413	12.31634775	8.817464442	8.499676681	10.69533257	10.64114692	12.00510714	12.10930019	11.6151684	11.35811793	11.12451566	10.87516157	11.64458173	11.29431134	11.55326755	12.73872039	11.06678378	11.50106418	11.65975528	10.58960705	11.57822837	11.33440028	11.21049132	11.71537231
FBgn0000179	0.0001	0.0001	0.0001	7.29086769	0.0001	0.0001	3.743747977	3.736571348	0.0001	0.0001	0.0001	0.0001	4.281397543	0.0001	0.0001	0.0001	0.0001	0.0001	3.384469467	3.139122302	3.673818158	8.243458518	8.041704178	3.382955677	7.97606633	0.0001	0.0001	5.328257831	0.0001	8.933653519
FBgn0000180	0.0001	0.0001	0.0001	6.27701435	0.0001	0.0001	3.304338765	0.0001	2.582244178	2.645358759	0.0001	0.0001	7.308986522	0.0001	4.13795682	0.0001	0.0001	0.0001	0.0001	0.0001	3.114917065	7.1371603	3.412255306	3.389681702	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
FBgn0000181	9.48931098	9.477707581	13.61822397	11.34150794	9.849053017	10.29474517	10.9748651	9.760358419	10.29196897	10.46171692	11.71785417	10.26264668	10.15897163	9.843899125	8.606848814	11.02502908	10.58229246	10.82094961	9.694181153	10.37560988	9.951121546	12.30221742	10.76956214	10.31013991	11.96556248	10.39002535	12.40332922	10.35755852	11.25158944	11.2156164
FBgn0000182	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	11.89067168	9.601483917	0.0001	3.415516986	0.0001	0.0001	0.0001	0.0001	0.0001	3.153520896	0.0001	0.0001	0.0001	2.215203	0.0001	0.0001	0.0001	0.0001	0.0001	3.450822125	0.0001	0.0001
FBgn0000183	9.174715151	9.279975805	9.079176653	7.589094571	9.176014521	5.883143523	7.654931656	9.747225796	9.515896035	5.981962782	9.492496831	7.55588656	7.371145045	9.884076363	9.869355417	8.65195149	8.971324846	8.910093191	9.865301524	6.424403374	9.379689234	7.730154908	8.536345732	7.810927462	7.385791344	8.852829122	8.979581898	9.275746257	8.879900663	8.767165976
FBgn0000206	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	10.52862892	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	12.13862399	0.0001	0.0001	0.0001	0.0001	3.320534483
FBgn0000210	0.0001	0.0001	0.0001	3.335120824	0.0001	8.605501625	0.0001	9.068299152	3.219238652	0.0001	0.0001	0.0001	3.416037236	6.790505736	5.89023354	8.742099071	0.0001	3.138168327	6.545602361	6.262739068	8.173634389	7.351681299	6.813686288	3.147190105	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
FBgn0000212	9.578148927	9.048632927	9.981250941	10.6170071	9.666545635	9.036487342	9.159322109	10.39752922	11.12969651	6.397740861	10.51762357	8.627387093	10.46526391	9.601164454	8.878341366	10.57183894	9.477186091	9.359153881	10.21573181	9.226791512	10.17376112	11.84140742	10.26627102	8.658062684	8.735686137	8.463008198	9.622106489	8.955100182	9.110719058	9.380893384
FBgn0000216	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	7.59417346	2.690010703	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
FBgn0000221	3.572455748	4.475105767	5.349505552	4.22261442	3.93580916	4.590401862	3.69362222	4.731671789	5.479566671	4.602579013	4.752171371	3.736675805	5.592315087	3.91427097	4.515619275	4.759714343	4.636034725	4.730430254	4.98770762	5.023416256	4.294903584	3.97415179	5.632420489	3.627178238	4.971121299	4.454332616	4.563630884	3.847144196	0.0001	4.67894846
FBgn0000227	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
FBgn0000228	9.609793861	9.130560553	10.92580731	10.07278643	10.46158136	9.208593551	9.251206482	9.4920607	11.17894284	3.252242631	9.425686318	8.889441228	9.797258046	9.742744963	9.186941644	8.88234189	8.824693995	8.769118047	9.373215001	9.142490216	9.030357986	8.971084367	9.433288516	9.01737041	9.649089628	9.002205695	9.510478316	9.693702813	10.16612627	9.990769263
FBgn0000229	7.632644338	7.931313292	7.387760817	9.836103624	7.675397491	7.377694525	8.525410319	8.29286801	5.310838947	6.823549031	7.639514002	6.984802717	9.891462477	7.518977269	7.695656921	7.452700675	7.335672733	7.26434858	8.111248772	7.712210442	7.249889433	8.746782993	7.885572459	7.065453776	9.267356133	7.532973115	7.534199	7.690369411	7.174154363	7.714213716
FBgn0000233	0.0001	0.0001	0.0001	3.281366994	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	3.871360053	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	6.01397845	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
FBgn0000239	7.717989787	7.560042577	7.969240258	7.6441967	7.930450968	8.96369374	8.132959462	10.45977157	9.559181989	8.689708556	8.024927957	8.084385908	7.192135239	7.797167381	7.672708843	7.836054303	8.784158868	8.705540555	9.462333159	9.736050513	7.747672519	8.505832616	7.877408046	9.198354753	7.105666896	8.145988737	7.690267813	8.404065735	8.260555244	7.479460428
FBgn0000242	4.775821482	0.0001	4.292869917	7.828430132	3.102460091	0.0001	4.706471812	2.994944806	6.546295835	3.861150736	0.0001	3.063581464	7.264173757	3.393902015	0.0001	0.0001	3.568674252	4.077627648	3.884121419	3.412160156	3.010486836	5.916735969	3.002297813	3.869306132	4.760873208	2.882361745	0.0001	4.333471164	4.282227729	5.727786919
FBgn0000244	10.53970662	9.493547436	10.08000855	6.926883845	10.88605504	6.140930483	9.211440139	7.21118463	5.705937928	4.819115863	11.19099126	9.470766919	7.935251222	9.758464889	8.985904096	9.313240958	8.926679743	8.849164697	8.311979599	7.928808294	9.753496341	6.648527566	9.362657979	9.361042263	7.830903103	9.567328105	10.42004972	9.402615206	8.856721453	10.09211556
FBgn0000246	0.0001	0.0001	0.0001	4.155882387	3.863506816	0.0001	0.0001	3.45202065	8.126902373	4.154156385	0.0001	0.0001	3.643036616	0.0001	0.0001	4.041036389	0.0001	0.0001	4.053588874	0.0001	0.0001	4.066312463	4.263329689	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	3.651582252
FBgn0000247	6.870024483	6.895683937	7.125327864	7.941125945	7.192545132	5.753933087	6.586161202	7.041894938	7.797887927	7.302929896	7.666156922	7.245871008	7.802194487	6.867438474	7.297634445	7.326640527	6.645347634	6.936107656	7.479054302	6.502503428	7.317261641	8.152488724	5.959171221	7.660319832	6.478369425	6.6640607	7.336769968	7.065091925	8.697935782	6.82961388
