gene	Adult_Hind_Gut	Adult_Mid_Gut	Adult_Accessory_gland	Adult_Brain	Adult_Crop	Larval_Wandering_fat_body	Adult_Head	Larvae_Wandering_Tubules	Adult_Ovary	Adult_Testes	Adult_Salivary_Gland	Adult_Carcass	Adult_Thoracoabdominal_ganglion	Larval_Feeding_Hind_Gut	Larval_Feeding_Mid_Gut	Larval_Feeding_Salivary_Gland	Adult_Female_Spermatheca_Mated	Adult_Female_Spermatheca_Virgin	Larval_Feeding_Malpighian_Tubule	Larval_Feeding_Fatbody	Larval_Feeding_Carcass	Larval_Feeding_Central_Nevous_System	Larval_Feeding_Trachea	Adult_Fatbody	Adult_Eye	Adult_Heart	Adult_Male_Ejaculatory_Duct	Adult_Trachea	Adult_Thoracic_Muscle	Adult_Wings
FBgn0038783	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	12.4549964	12.60697636	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
FBgn0038784	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	12.59942423	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
FBgn0038787	7.569560739	7.54219095	9.926861537	8.556376658	8.39779817	8.11748161	7.289734682	8.552396274	9.729328397	5.525422279	8.784146297	7.898889277	8.061443038	8.228653895	7.68716349	9.895127688	7.716604778	6.79295011	7.772608579	8.897936073	8.675051924	9.155612718	8.612448526	9.046621749	7.679131252	8.471289439	8.382768834	8.467435057	8.764941104	8.179072174
FBgn0038788	7.20876942	7.593743066	8.05516077	8.754738401	7.593773583	7.540120045	8.193392351	7.526731024	8.14926777	10.34297943	7.926780125	7.456006474	9.440855361	6.702551387	6.937056627	7.662900404	7.525364635	7.453575907	7.486800966	7.381062455	6.451590433	6.991494952	6.736330592	7.123862776	9.921853866	7.941938696	7.804248832	7.386029759	9.333318664	8.051522725
FBgn0038789	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
FBgn0038790	12.60096833	14.13881988	0.0001	0.0001	0.0001	0.0001	0.0001	8.736217236	0.0001	6.078883455	0.0001	0.0001	0.0001	0.0001	10.30733231	0.0001	0.0001	0.0001	8.355367021	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	5.449991811	0.0001	0.0001
FBgn0038796	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	9.464269161	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
FBgn0038797	0.0001	0.0001	0.0001	0.0001	0.0001	7.966246721	0.0001	0.0001	0.0001	12.70677335	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
FBgn0038798	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	2.649360995	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
FBgn0038799	7.595889322	0.0001	0.0001	9.179897961	0.0001	0.0001	8.135310008	9.202087552	0.0001	9.062787148	6.753995561	0.0001	9.326056869	4.195264238	0.0001	6.944573494	7.382549765	5.792270494	9.795023253	0.0001	6.833775013	10.19652518	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
